,BMW,BMW,BMW,BMW,BMW,BMW,BMW,BMW,BMW,MINI,MINI,MINI,MINI,MINI,MINI,MINI,MINI,MINI,Total,Total,Total,Total,Total,Total,Total,Total,Total
,"Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress","Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress","Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Coversion Rate","In Progress"
"Premium Trade Cars BMW MINI Event",4000,500,12.50%,50,30,5,10,19.00%,3,3000,400,13.33%,30,20,3,5,14.50%,2,7000,900,12.86%,80,50,8,15,17.00%,5
"Bowker Blackburn BMW VIP Event 2018",1800,120,6.67%,22,32,4,8,55.00%,4,,,,,,,,,,1800,120,6.67%,22,32,4,8,55.00%,4
"Bowker Blackburn BMW VIP Event 2019",2200,140,6.36%,32,41,5,15,66.43%,2,,,,,,,,,,2200,140,6.36%,32,41,5,15,66.43%,2
"Halliwell Jones Southport BMW VIP Event 2018",1270,106,8.35%,17,23,2,5,44.34%,2,,,,,,,,,,1270,106,8.35%,17,23,2,5,44.34%,2
"Halliwell Jones Southport BMW Q2 VIP Event 2019",2780,143,5.14%,12,31,3,4,34.97%,2,,,,,,,,,,2780,143,5.14%,12,31,3,4,34.97%,2
"Halliwell Jones Wilmslow BMW VIP Event 2018",1784,186,10.43%,23,19,0,0,22.58%,2,,,,,,,,,,1784,186,10.43%,23,19,0,0,22.58%,2
"Halliwell Jones Wilmslow BMW VIP Event 2019",2180,93,4.27%,8,11,3,0,23.66%,1,,,,,,,,,,2180,93,4.27%,8,11,3,0,23.66%,1
"Bowker Preston BMW VIP Event 2018",1894,126,6.65%,29,22,1,2,42.86%,0,,,,,,,,,,1894,126,6.65%,29,22,1,2,42.86%,0
"Bowker Preston BMW VIP Event 2019",2220,204,9.19%,24,12,0,0,17.65%,0,,,,,,,,,,2220,204,9.19%,24,12,0,0,17.65%,0
"Premium Trade Cars All Brand Event",2567,28,1.09%,8,6,0,0,50.00%,0,1629,24,1.47%,5,4,0,0,37.50%,0,4196,52,1.24%,13,10,0,0,44.23%,0
Total,22695,1646,7.25%,225,227,23,44,31.53%,16,4629,424,9.16%,35,24,3,5,15.80%,2,27324,2070,7.58%,260,251,26,49,28.31%,18
