,"Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Conversion Rate","In Progress"
"Premium Trade Cars BMW MINI Event",4000,500,12.50%,50,30,5,10,19.00%,3
"Bowker Blackburn BMW VIP Event 2018",1800,120,6.67%,22,32,4,8,55.00%,4
"Bowker Blackburn BMW VIP Event 2019",2200,140,6.36%,32,41,5,15,66.43%,2
"Halliwell Jones Southport BMW VIP Event 2018",1270,106,8.35%,17,23,2,5,44.34%,2
"Halliwell Jones Southport BMW Q2 VIP Event 2019",2780,143,5.14%,12,31,3,4,34.97%,2
"Halliwell Jones Wilmslow BMW VIP Event 2018",1784,186,10.43%,23,19,0,0,22.58%,2
"Halliwell Jones Wilmslow BMW VIP Event 2019",2180,93,4.27%,8,11,3,0,23.66%,1
"Bowker Preston BMW VIP Event 2018",1894,126,6.65%,29,22,1,2,42.86%,0
"Bowker Preston BMW VIP Event 2019",2220,204,9.19%,24,12,0,0,17.65%,0
"Premium Trade Cars All Brand Event",2567,28,1.09%,8,6,0,0,50.00%,0
Total,22695,1646,7.25%,225,227,23,44,31.53%,16
