,"Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Conversion Rate","In Progress"
"Opel Gex Showroom VIP Event",2642,42,1.59%,16,4,0,0,47.62%,1
"Opel Le Cannet Platinum Event",2985,17,0.57%,8,0,0,0,47.06%,2
"Opel Salon de Provence Premium Event",3810,48,1.26%,12,3,0,0,31.25%,2
"Opel Rochefort Platinum Event",1542,22,1.43%,11,0,0,0,50.00%,1
"Opel Lille Showroom VIP Event",2500,38,1.52%,29,5,0,0,89.47%,1
"Opel Dunkerque Showroom VIP Event",691,20,2.89%,12,1,0,0,65.00%,0
"Opel Saint-Quentin Showroom VIP Event",2548,27,1.06%,15,8,0,0,85.19%,0
"Opel Fontaine-Les-Vervins Showroom VIP Event",922,10,1.08%,12,1,0,0,130.00%,0
"Opel Tourcoing Showroom VIP Event",1860,29,1.56%,25,3,0,0,96.55%,2
"Opel Valenciennes Showroom VIP Event",2257,37,1.64%,22,1,0,0,62.16%,2
"Opel Villeneuve d'Ascq Showroom VIP Event",2199,29,1.32%,24,2,0,0,89.66%,0
"Opel Laon Showroom VIP Event",2323,8,0.34%,8,0,0,0,100.00%,0
"Opel Frejus Showroom VIP Event",2256,26,1.15%,16,0,0,0,61.54%,0
"Opel Soissons Showroom VIP Event",839,10,1.19%,3,0,0,0,30.00%,0
"Opel Orléans Showroom VIP Event",1495,12,0.80%,16,0,0,0,133.33%,1
"Opel Tours Showroom VIP Event",2000,42,2.10%,25,0,0,0,59.52%,11
Total,32869,417,1.27%,254,28,0,0,67.63%,23
