,"Data Count",Appointments,"Response Rate",New,Used,Demo,0km,"Conversion Rate","In Progress"
"MC Motors VIP Event",1239,33,2.66%,17,2,0,0,57.58%,0
"L.Warsemann Auto 37 VIP Event",726,35,4.82%,19,0,2,0,60.00%,0
"Nouvelle Excel Auto VIP Event",1974,41,2.08%,8,8,0,0,39.02%,0
"Espace 3000 VIP Event",1984,36,1.81%,7,0,0,0,19.44%,0
"Europe Garage Services VIP Event",1210,29,2.40%,7,8,0,0,51.72%,0
"Skoda Paris Est VIP Event",5166,28,0.54%,4,4,0,0,28.57%,0
"NDS City Car VIP Event",1283,26,2.03%,14,3,0,0,65.38%,0
"Excel Motors VIP Event",1093,28,2.56%,11,0,0,0,39.29%,0
"Premium Picardie VIP Event",1671,21,1.26%,17,0,0,0,80.95%,0
"WelcomCar VIP Event",798,22,2.76%,16,0,0,0,72.73%,0
"Carlier Automobiles VIP Event",511,15,2.94%,9,0,0,0,60.00%,0
"Nice Car SA VIP Event",2379,16,0.67%,22,0,0,0,137.50%,0
"Riviera Technic VIP Event",1998,18,0.90%,13,0,0,0,72.22%,0
"Peyo Automobiles VIP Event",1282,19,1.48%,12,0,0,0,63.16%,0
"L.G.A. VIP Event",1259,30,2.38%,12,5,1,0,60.00%,0
"Saphir Automobiles VIP Event",2777,17,0.61%,8,3,0,0,64.71%,0
"Vega Automobile VIP Event",1493,56,3.75%,5,0,18,0,41.07%,0
"Espace Automobiles Nîmois VIP Event",1388,25,1.80%,21,0,0,0,84.00%,0
"Premium Trade Cars All Brand Event",1829,38,2.08%,14,4,0,0,47.37%,0
Total,32060,533,1.66%,236,37,21,0,55.16%,0
